58	53	8	11	62	3	10	82	28	30	124	19	3	27	42	97	10	35	48	27	18	87	34	19	27	67	20	52	3	37	12	40	7	98	37	31	26	17	69	12	20	5	4	74	62	45	31	34	157	20	43	39	11	43	20	25	11	27	114	12	76	35	52	0	30	18	68	30	2	2	50	33	532	21	29	78	34	14	0	21	53	399	8	20	38	98	94	41	41	6	11	40	0	45	1	56	23	39	27	66	1	0	18	19	5	28	159	45	56	138	25	14	19	32	11	40	42	24	102	43	16	11	28	24	52	10	21	6	38	17	44	82	13	21	41	41	6	21	18	8	29	45	19	15	22	9	14	10	28	18	37	11	13	7	10	11	58	78	35	30	26	104	535	31	61	38	124	73	30	23	70	159	20	111	85	57	116	86	39	41	27	180	127	136	116	44	128	14	23	281	25	91	47	14	117	25	75	40	116	74	22	123	19	9	16	83	20	32	21	12	56	53	10	20	32	18	9	51	91	19	170	20	70	18	7	26	66	46	22	39	67	67	9	65
3045	2988	382	1160	2911	431	2492	2736	1681	2103	1659	3417	2272	1819	1708	2090	747	1444	1275	1128	1584	972	1324	2485	1596	2551	1049	1586	291	2336	2044	1717	2075	2310	1909	1349	1643	3094	1895	2113	2367	1861	264	2360	2272	1551	2295	1734	2053	1391	2632	2477	924	1902	1967	739	2196	2003	5558	2604	1579	1509	1753	163	2610	1385	2541	2218	204	254	1103	2348	947	2179	2176	1998	1520	1717	144	3596	2126	1848	2089	2521	3115	2302	3458	1318	2267	1419	2473	2355	216	1959	2416	1810	1729	1118	1078	1627	357	234	2167	2810	487	5286	2042	2551	2103	882	3312	1844	1308	1266	1292	2063	2670	1565	1358	702	492	545	493	1085	332	176	356	136	663	578	702	321	290	447	561	827	650	842	477	282	1218	909	630	941	923	341	474	232	642	475	496	290	398	738	673	513	3534	2349	977	2596	2291	925	1598	1400	2131	1792	2908	2152	3189	2522	1783	1881	1537	1735	4565	3582	1488	4088	1688	2512	1856	1496	1938	1867	2207	3042	2128	1659	2367	2072	2270	1862	3399	1533	2811	913	1809	2058	1317	2420	1538	1314	2938	4249	2594	4101	2705	2339	2273	2116	1607	3264	2128	2514	2793	2332	2919	2151	1768	1325	1834	3102	2195	2340	2018	3736	3223	831	2496	2422	2888	580	1307	2537
501	428	23	237	344	22	469	593	279	454	338	468	110	69	68	57	51	149	116	260	157	441	402	536	214	397	257	285	14	408	403	339	380	420	379	260	425	360	383	485	465	268	57	519	413	303	249	282	588	360	442	339	190	431	320	224	283	321	959	396	424	164	200	11	533	256	487	402	10	4	356	461	317	393	388	309	531	184	6	361	364	460	403	515	551	402	496	283	479	383	432	522	13	153	124	163	130	140	94	138	33	7	429	469	66	1006	629	426	430	166	551	177	221	324	156	641	498	233	352	104	76	55	42	100	88	40	103	13	102	80	81	58	51	63	76	76	51	56	83	40	67	105	57	84	72	62	49	77	64	75	103	23	39	100	119	60	745	282	203	302	229	230	189	219	346	332	765	405	355	277	259	176	227	425	2294	331	176	1227	279	196	193	167	433	519	221	334	442	166	323	520	311	285	1946	162	488	178	206	403	476	293	149	429	938	706	582	383	323	232	495	232	185	754	282	247	241	1001	694	267	390	184	381	243	328	233	177	311	1050	79	236	278	402	155	211	356
685	673	5	223	1051	1	542	574	90	431	625	884	33	26	36	64	51	346	402	360	357	350	616	147	486	621	1581	473	1	858	848	967	674	125	790	551	320	535	685	569	504	411	2	818	535	45	475	139	1042	351	418	409	372	543	544	239	448	560	1607	874	32	161	444	0	669	248	631	600	0	1	252	308	610	407	646	1081	345	572	0	744	1125	134	1118	625	1064	754	719	696	743	441	634	905	1	491	43	394	392	244	366	290	1	1	471	539	2	831	80	522	969	585	715	636	162	332	252	795	1029	428	966	89	22	36	72	70	55	15	32	3	67	96	54	200	95	70	36	52	85	59	48	20	80	74	55	84	59	20	45	43	43	77	68	14	62	62	56	21	75	287	431	313	182	570	83	231	524	286	599	391	392	549	526	235	325	202	111	373	176	196	402	523	497	59	437	777	233	592	400	97	451	581	422	453	60	173	397	392	357	395	398	399	211	130	175	127	102	760	465	301	922	638	239	218	586	333	535	217	84	463	204	336	365	333	458	532	509	517	142	234	850	473	414	409	487	285
772	452	18	74	279	5	2399	469	245	418	612	654	259	185	229	323	190	254	478	132	250	103	348	833	495	537	125	430	2	542	961	487	301	361	991	284	441	613	323	3949	459	314	5	548	709	210	357	267	480	194	505	455	222	542	423	76	391	394	1118	539	196	193	275	10	365	224	948	368	6	3	218	351	270	474	445	2215	281	714	3	620	518	542	623	329	1300	589	845	363	566	422	427	662	2	296	426	196	422	142	216	461	11	1	292	529	12	1268	406	430	441	131	520	330	195	832	279	414	1166	425	503	169	94	85	129	137	107	36	41	35	114	194	108	226	131	79	84	112	134	175	122	74	273	309	153	150	106	75	163	85	131	157	89	47	128	162	102	77	98	420	2017	408	203	362	108	1181	788	243	846	390	589	717	549	425	404	371	71	607	247	159	323	557	345	113	569	2821	390	270	591	147	453	348	428	906	84	226	561	444	364	500	218	268	317	309	74	111	74	1007	597	560	751	904	402	134	546	420	590	137	117	469	441	544	670	600	820	760	556	724	201	302	789	684	643	441	572	410
4561	4850	366	3118	3723	217	4361	3493	1378	4297	1362	3247	1245	583	530	892	560	3098	4873	4073	4549	4933	3786	2976	870	2596	2763	1695	166	2602	3973	2135	1790	2290	2255	1352	2275	3243	3588	2093	3900	1281	270	3296	2132	1405	5353	1746	4379	653	3906	2531	1257	2512	2037	2859	1644	2346	9834	3354	1783	1368	4545	132	4523	1359	3792	3561	83	90	1371	3561	4780	2275	2892	2194	2498	3081	77	3986	2418	2202	2551	4047	3703	2093	3448	1129	4431	2056	1959	2093	60	4866	1120	2992	3140	2415	3242	4910	223	90	1437	4596	290	4524	2155	3690	3050	2065	3918	5846	1690	1313	1251	3002	5958	1500	2055	871	776	1207	686	2494	880	503	1062	75	1443	609	1625	941	703	615	1045	731	555	944	917	444	1375	789	1025	1169	1578	524	440	746	803	739	868	486	465	1233	1498	726	1053	4321	3265	3754	2936	3227	2190	3051	3760	3298	4892	3630	4339	3209	4402	4593	3374	4689	891	3512	2830	537	3649	3315	3582	4939	5256	6561	6296	4916	6548	2045	5071	3857	4335	4925	453	2453	6346	3120	3590	3964	3674	4729	2649	2943	499	323	392	5415	3854	2718	2468	2351	2627	621	2877	1742	2742	519	214	2359	3140	3162	2537	3593	3081	2730	2380	3183	873	1796	3764	3611	3801	698	2505	4053
850	857	71	442	1081	60	648	759	253	672	365	844	152	73	89	264	83	302	412	487	358	505	421	742	461	807	170	417	53	595	666	542	636	482	475	350	447	921	523	740	563	667	47	561	644	379	396	611	534	366	726	665	308	504	541	411	646	726	1591	788	236	318	543	34	670	292	782	529	22	37	349	500	388	704	585	624	395	560	27	1005	583	477	615	640	860	600	1233	334	646	409	769	801	37	340	219	407	273	352	333	307	61	19	567	754	93	1260	410	688	642	370	891	498	313	322	245	450	717	453	451	148	154	192	159	256	146	98	125	18	166	105	242	131	98	140	132	126	115	155	163	99	151	160	180	126	270	111	87	139	120	119	153	53	71	180	215	132	570	557	412	512	630	322	321	438	549	627	1115	733	606	818	725	832	598	857	540	768	649	1013	576	544	508	536	840	737	718	619	1337	325	676	564	720	673	620	350	1183	491	632	530	532	449	416	524	624	683	524	773	1186	496	1368	1127	425	765	816	579	639	701	698	630	602	520	580	638	659	587	509	633	496	409	688	521	627	400	916	721
79	84	6	24	92	3	83	103	18	89	26	88	13	5	12	17	8	20	22	23	22	19	48	63	31	60	64	34	1	35	88	34	80	30	60	30	68	82	30	67	54	58	2	85	86	12	33	41	45	26	92	33	22	103	45	12	46	30	136	64	15	21	18	4	68	45	87	56	0	0	44	58	14	129	36	64	45	58	1	165	53	19	103	64	87	138	77	44	58	91	78	86	1	31	17	30	30	24	36	23	2	1	61	63	3	89	34	81	33	5	119	46	12	33	23	86	110	22	80	12	6	10	0	13	3	1	9	2	24	6	6	17	11	7	22	8	15	16	2	3	16	6	5	13	8	6	6	6	14	5	6	4	8	21	18	5	42	32	26	26	10	12	3	55	75	27	71	20	41	42	36	18	40	15	45	26	10	272	24	64	24	0	50	20	38	74	54	18	33	19	53	19	337	6	76	22	26	51	12	20	27	17	75	94	29	82	39	64	125	128	15	31	47	64	85	55	124	41	22	40	25	72	26	63	77	69	35	8	62	67	39	40	40	55
74	51	0	21	24	0	53	37	8	58	33	48	16	5	0	8	0	16	16	26	15	29	52	41	31	52	54	39	1	44	68	40	40	19	38	19	31	49	26	38	64	39	7	25	58	13	25	45	42	18	40	43	19	34	37	13	29	54	86	31	7	9	16	1	40	26	50	22	0	1	14	30	7	37	52	35	26	28	0	73	28	35	60	42	69	57	65	33	50	40	55	55	0	17	14	22	16	16	17	27	0	0	23	37	1	74	34	29	44	19	52	21	19	21	10	37	33	23	49	8	5	14	10	8	12	4	9	2	10	9	9	8	5	10	12	10	2	13	3	8	9	13	10	22	6	4	4	14	14	4	6	6	2	7	11	3	20	65	25	42	15	24	10	41	43	33	46	44	60	74	32	29	27	21	25	50	19	39	30	16	20	5	41	31	13	34	49	22	42	21	28	15	53	58	39	27	27	56	28	36	16	22	18	26	22	49	45	41	64	39	10	16	127	20	83	28	23	25	38	34	40	32	14	37	30	25	26	14	42	32	55	22	14	54
3724	4418	331	1778	4087	380	3174	3700	2119	3467	2293	3804	1341	1245	1372	1537	749	1778	2010	1756	1862	1642	2555	2765	1844	3984	988	1980	162	2792	2816	2342	3333	2760	2235	2368	2264	3256	2453	3253	3483	2615	280	2665	2623	1503	2328	2539	3049	1884	3229	3224	1590	2485	2848	1321	2665	3224	7034	4030	1499	1741	2449	150	3471	1877	3397	2808	143	158	2010	2629	1910	2427	3134	3754	1973	2367	111	4347	2658	2037	2627	3377	3652	3592	4579	2230	3446	1752	3636	3480	91	2101	1351	2187	2070	1484	1339	2131	325	143	2615	3745	510	7183	2129	3214	3189	1822	4285	2014	1784	1796	1434	3138	3246	2132	2712	660	460	620	554	1191	510	318	649	96	571	525	1061	502	477	549	470	505	405	513	578	331	671	788	601	593	1193	294	406	385	380	521	610	208	304	609	959	512	6013	3030	2249	3261	3277	2226	2432	2576	3474	2794	3692	3527	3589	3459	3059	3853	2855	4266	7853	4429	2972	10388	2744	3066	2821	2377	3955	3797	3787	3588	4688	2010	3470	3532	3388	3238	7333	1745	5149	2160	2879	2864	2966	2994	1923	2215	7353	6191	4591	4406	4776	2548	4877	3135	2467	5436	2844	2448	3736	5600	5621	2478	2376	2268	2813	3011	3100	3224	2465	4371	5344	1698	3423	3283	3633	1447	2703	3427
